ZRX;ZRXBTC;'ZRXBTC'
RDN;RDNBTC;'RDNBTC'
RCN;RCNBTC;'RCNBTC'
RAMP;RAMPBTC;'RAMPBTC'
QTUM;QTUMBTC;'QTUMBTC'
QSP;QSPBTC;'QSPBTC'
QLC;QLCBTC;'QLCBTC'
QKC;QKCBTC;'QKCBTC'
PSG;PSGBTC;'PSGBTC'
PPT;PPTBTC;'PPTBTC'
POWR;POWRBTC;'POWRBTC'
POND;PONDBTC;'PONDBTC'
POLY;POLYBTC;'POLYBTC'
POA;POABTC;'POABTC'
PNT;PNTBTC;'PNTBTC'
PIVX;PIVXBTC;'PIVXBTC'
PHB;PHBBTC;'PHBBTC'
PHA;PHABTC;'PHABTC'
PERP;PERPBTC;'PERPBTC'
PERL;PERLBTC;'PERLBTC'
PAXG;PAXGBTC;'PAXGBTC'
OXT;OXTBTC;'OXTBTC'
OST;OSTBTC;'OSTBTC'
ORN;ORNBTC;'ORNBTC'
ONT;ONTBTC;'ONTBTC'
ONG;ONGBTC;'ONGBTC'
ONE;ONEBTC;'ONEBTC'
OMG;OMGBTC;'OMGBTC'
OM;OMBTC;'OMBTC'
OGN;OGNBTC;'OGNBTC'
OG;OGBTC;'OGBTC'
OCEAN;OCEANBTC;'OCEANBTC'
OAX;OAXBTC;'OAXBTC'
NXS;NXSBTC;'NXSBTC'
NULS;NULSBTC;'NULSBTC'
NMR;NMRBTC;'NMRBTC'
NKN;NKNBTC;'NKNBTC'
NEO;NEOBTC;'NEOBTC'
NEBL;NEBLBTC;'NEBLBTC'
NEAR;NEARBTC;'NEARBTC'
NBS;NBSBTC;'NBSBTC'
NAV;NAVBTC;'NAVBTC'
NAS;NASBTC;'NASBTC'
NANO;NANOBTC;'NANOBTC'
MTL;MTLBTC;'MTLBTC'
MTH;MTHBTC;'MTHBTC'
MKR;MKRBTC;'MKRBTC'
MITH;MITHBTC;'MITHBTC'
MDT;MDTBTC;'MDTBTC'
MDA;MDABTC;'MDABTC'
MATIC;MATICBTC;'MATICBTC'
MANA;MANABTC;'MANABTC'
LUNA;LUNABTC;'LUNABTC'
LTO;LTOBTC;'LTOBTC'
LTC;LTCBTC;'LTCBTC'
LSK;LSKBTC;'LSKBTC'
LRC;LRCBTC;'LRCBTC'
LOOM;LOOMBTC;'LOOMBTC'
LIT;LITBTC;'LITBTC'
LINK;LINKBTC;'LINKBTC'
LINA;LINABTC;'LINABTC'
