MANABTC;1 MANA;0,0175600000;1 ETH IS 0,01756 BTC;1 ;0,01756;TRUE
BCDBTC;1 BCD;0,0239100000;1 ETH IS 0,02391 BTC;1 ;0,02391;TRUE
ADXBTC;1 ADX;0,0240400000;1 ETH IS 0,02404 BTC;1 ;0,02404;TRUE
ADABTC;1 ADA;0,0203100000;1 ETH IS 0,02031 BTC;1 ;0,02031;TRUE
PPTBTC;1 PPT;0,0500900000;1 ETH IS 0,05009 BTC;1 ;0,05009;TRUE
XLMBTC;1 XLM;0,0000074700;1 ETH IS 0,00000747 BTC;1 ;0,00000747;
CNDBTC;1 CND;0,0000007800;1 ETH IS 0,00000078 BTC;1 ;0,00000078;
WABIBTC;1 WABI;0,0118600000;1 ETH IS 0,01186 BTC;1 ;0,01186;TRUE
WAVESBTC;0.01 WAVES;0,0002247000;1 ETH IS 0,0002247 BTC;0,01000;0,000002247;
GTOBTC;1 GTO;0,0000010700;1 ETH IS 0,00000107 BTC;1 ;0,00000107;
ICXBTC;1 ICX;0,0460700000;1 ETH IS 0,04607 BTC;1 ;0,04607;TRUE
OSTBTC;1 OST;0,0000006700;1 ETH IS 0,00000067 BTC;1 ;0,00000067;
ELFBTC;1 ELF;0,0000081600;1 ETH IS 0,00000816 BTC;1 ;0,00000816;
AIONBTC;1 AION;0,0000064300;1 ETH IS 0,00000643 BTC;1 ;0,00000643;
NEBLBTC;1 NEBL;0,0515900000;1 ETH IS 0,05159 BTC;1 ;0,05159;TRUE
BRDBTC;1 BRD;0,0000078700;1 ETH IS 0,00000787 BTC;1 ;0,00000787;
NAVBTC;1 NAV;0,0132300000;1 ETH IS 0,01323 BTC;1 ;0,01323;TRUE
APPCBTC;1 APPC;0,0000027600;1 ETH IS 0,00000276 BTC;1 ;0,00000276;
RLCBTC;1 RLC;0,0470400000;1 ETH IS 0,04704 BTC;1 ;0,04704;TRUE
PIVXBTC;1 PIVX;0,0249100000;1 ETH IS 0,02491 BTC;1 ;0,02491;TRUE
IOSTBTC;1 IOST;0,0000009400;1 ETH IS 0,00000094 BTC;1 ;0,00000094;
STEEMBTC;1 STEEM;0,0207400000;1 ETH IS 0,02074 BTC;1 ;0,02074;TRUE
NANOBTC;0.01 NANO;0,0000856000;1 ETH IS 0,0000856 BTC;0,01000;0,000000856;
VIABTC;1 VIA;0,0222700000;1 ETH IS 0,02227 BTC;1 ;0,02227;TRUE
BLZBTC;1 BLZ;0,0000090000;1 ETH IS 0,000009 BTC;1 ;0,000009;
POABTC;1 POA;0,0000021100;1 ETH IS 0,00000211 BTC;1 ;0,00000211;
ZILBTC;1 ZIL;0,0000034000;1 ETH IS 0,0000034 BTC;1 ;0,0000034;
ONTBTC;0.01 ONT;0,0000304000;1 ETH IS 0,0000304 BTC;0,01000;0,000000304;
XEMBTC;1 XEM;0,0000061800;1 ETH IS 0,00000618 BTC;1 ;0,00000618;
WANBTC;1 WAN;0,0289700000;1 ETH IS 0,02897 BTC;1 ;0,02897;TRUE
WPRBTC;1 WPR;0,0000007300;1 ETH IS 0,00000073 BTC;1 ;0,00000073;
QLCBTC;1 QLC;0,0000019200;1 ETH IS 0,00000192 BTC;1 ;0,00000192;
SYSBTC;1 SYS;0,0000058200;1 ETH IS 0,00000582 BTC;1 ;0,00000582;
GRSBTC;1 GRS;0,0224400000;1 ETH IS 0,02244 BTC;1 ;0,02244;TRUE
LOOMBTC;1 LOOM;0,0000043500;1 ETH IS 0,00000435 BTC;1 ;0,00000435;
REPBTC;0.001 REP;0,0006850000;1 ETH IS 0,000685 BTC;0,00100;0,000000685;
ZENBTC;0.01 ZEN;0,0010130000;1 ETH IS 0,001013 BTC;0,01000;0,00001013;
SKYBTC;1 SKY;0,0750400000;1 ETH IS 0,07504 BTC;1 ;0,07504;TRUE
CVCBTC;1 CVC;0,0122500000;1 ETH IS 0,01225 BTC;1 ;0,01225;TRUE
THETABTC;0.1 THETA;0,0002005300;1 ETH IS 0,00020053 BTC;0,10000;0,000020053;
IOTXBTC;1 IOTX;0,0000008800;1 ETH IS 0,00000088 BTC;1 ;0,00000088;
QKCBTC;1 QKC;0,0000008900;1 ETH IS 0,00000089 BTC;1 ;0,00000089;
AGIBTC;1 AGI;0,0000062900;1 ETH IS 0,00000629 BTC;1 ;0,00000629;
NXSBTC;1 NXS;0,0259100000;1 ETH IS 0,02591 BTC;1 ;0,02591;TRUE
DATABTC;1 DATA;0,0000030400;1 ETH IS 0,00000304 BTC;1 ;0,00000304;
SCBTC;1 SC;0,0000005100;1 ETH IS 0,00000051 BTC;1 ;0,00000051;
NASBTC;0.01 NAS;0,0000199000;1 ETH IS 0,0000199 BTC;0,01000;0,000000199;
ARDRBTC;1 ARDR;0,0000066800;1 ETH IS 0,00000668 BTC;1 ;0,00000668;
VETBTC;1 VET;0,0000016000;1 ETH IS 0,0000016 BTC;1 ;0,0000016;
DOCKBTC;1 DOCK;0,0000018900;1 ETH IS 0,00000189 BTC;1 ;0,00000189;
POLYBTC;1 POLY;0,0108900000;1 ETH IS 0,01089 BTC;1 ;0,01089;TRUE
GOBTC;1 GO;0,0000012900;1 ETH IS 0,00000129 BTC;1 ;0,00000129;
RVNBTC;1 RVN;0,0000032700;1 ETH IS 0,00000327 BTC;1 ;0,00000327;
DCRBTC;0.001 DCR;0,0030920000;1 ETH IS 0,003092 BTC;0,00100;0,000003092;
MITHBTC;1 MITH;0,0000011700;1 ETH IS 0,00000117 BTC;1 ;0,00000117;
RENBTC;1 REN;0,0184300000;1 ETH IS 0,01843 BTC;1 ;0,01843;TRUE
ONGBTC;1 ONG;0,0182300000;1 ETH IS 0,01823 BTC;1 ;0,01823;TRUE
FETBTC;1 FET;0,0120300000;1 ETH IS 0,01203 BTC;1 ;0,01203;TRUE
CELRBTC;1 CELR;0,0000013700;1 ETH IS 0,00000137 BTC;1 ;0,00000137;
MATICBTC;1 MATIC;0,0000066600;1 ETH IS 0,00000666 BTC;1 ;0,00000666;
ATOMBTC;0.01 ATOM;0,0003380000;1 ETH IS 0,000338 BTC;0,01000;0,00000338;
PHBBTC;1 PHB;0,0000004000;1 ETH IS 0,0000004 BTC;1 ;0,0000004;
TFUELBTC;1 TFUEL;0,0000075800;1 ETH IS 0,00000758 BTC;1 ;0,00000758;
ONEBTC;1 ONE;0,0000028500;1 ETH IS 0,00000285 BTC;1 ;0,00000285;
FTMBTC;1 FTM;0,0000072400;1 ETH IS 0,00000724 BTC;1 ;0,00000724;
ALGOBTC;1 ALGO;0,0226400000;1 ETH IS 0,02264 BTC;1 ;0,02264;TRUE
DOGEBTC;1 DOGE;0,0000009800;1 ETH IS 0,00000098 BTC;1 ;0,00000098;
DUSKBTC;1 DUSK;0,0000068800;1 ETH IS 0,00000688 BTC;1 ;0,00000688;
ANKRBTC;1 ANKR;0,0000028700;1 ETH IS 0,00000287 BTC;1 ;0,00000287;
COSBTC;1 COS;0,0000006800;1 ETH IS 0,00000068 BTC;1 ;0,00000068;
TOMOBTC;1 TOMO;0,0472300000;1 ETH IS 0,04723 BTC;1 ;0,04723;TRUE
PERLBTC;1 PERL;0,0000029600;1 ETH IS 0,00000296 BTC;1 ;0,00000296;
CHZBTC;1 CHZ;0,0000083600;1 ETH IS 0,00000836 BTC;1 ;0,00000836;
BANDBTC;0.1 BAND;0,0002746000;1 ETH IS 0,0002746 BTC;0,10000;0,00002746;
BEAMBTC;0.01 BEAM;0,0000205000;1 ETH IS 0,0000205 BTC;0,01000;0,000000205;
XTZBTC;0.01 XTZ;0,0000891000;1 ETH IS 0,0000891 BTC;0,01000;0,000000891;
HBARBTC;1 HBAR;0,0000058100;1 ETH IS 0,00000581 BTC;1 ;0,00000581;
NKNBTC;1 NKN;0,0000034200;1 ETH IS 0,00000342 BTC;1 ;0,00000342;
STXBTC;1 STX;0,0208300000;1 ETH IS 0,02083 BTC;1 ;0,02083;TRUE
KAVABTC;0.1 KAVA;0,0001164000;1 ETH IS 0,0001164 BTC;0,10000;0,00001164;
ARPABTC;1 ARPA;0,0000019000;1 ETH IS 0,0000019 BTC;1 ;0,0000019;
CTXCBTC;1 CTXC;0,0000057500;1 ETH IS 0,00000575 BTC;1 ;0,00000575;
BCHBTC;0.001 BCH;0,0098100000;1 ETH IS 0,00981 BTC;0,00100;0,00000981;
TROYBTC;1 TROY;0,0000004500;1 ETH IS 0,00000045 BTC;1 ;0,00000045;
VITEBTC;1 VITE;0,0000027300;1 ETH IS 0,00000273 BTC;1 ;0,00000273;
FTTBTC;0.01 FTT;0,0007078000;1 ETH IS 0,0007078 BTC;0,01000;0,000007078;
OGNBTC;1 OGN;0,0308700000;1 ETH IS 0,03087 BTC;1 ;0,03087;TRUE
DREPBTC;0.1 DREP;0,0000511000;1 ETH IS 0,0000511 BTC;0,10000;0,00000511;
TCTBTC;1 TCT;0,0000008800;1 ETH IS 0,00000088 BTC;1 ;0,00000088;
WRXBTC;1 WRX;0,0290900000;1 ETH IS 0,02909 BTC;1 ;0,02909;TRUE
LTOBTC;1 LTO;0,0146400000;1 ETH IS 0,01464 BTC;1 ;0,01464;TRUE
COTIBTC;1 COTI;0,0000070800;1 ETH IS 0,00000708 BTC;1 ;0,00000708;
STPTBTC;1 STPT;0,0000020800;1 ETH IS 0,00000208 BTC;1 ;0,00000208;
SOLBTC;0.1 SOL;0,0003300200;1 ETH IS 0,00033002 BTC;0,10000;0,000033002;
CTSIBTC;1 CTSI;0,0000065600;1 ETH IS 0,00000656 BTC;1 ;0,00000656;
HIVEBTC;1 HIVE;0,0140400000;1 ETH IS 0,01404 BTC;1 ;0,01404;TRUE
CHRBTC;1 CHR;0,0000064700;1 ETH IS 0,00000647 BTC;1 ;0,00000647;
MDTBTC;1 MDT;0,0000013700;1 ETH IS 0,00000137 BTC;1 ;0,00000137;
